Name,Website,AngelList URL
Dan Hynes,http://www.atomico.com/,https://angel.co/dan-hynes
Tom Wehmeier,http://www.atomico.com/,https://angel.co/tom-wehmeier
Shin Iwata,http://www.atomico.com/,https://angel.co/shin-iwata-1
Kelly Poon,http://www.atomico.com/,https://angel.co/kelly-poon
Yuan Chen,http://www.atomico.com/,https://angel.co/newc2292
Mattias Ljungman,http://www.atomico.com/,https://angel.co/ljungman
Yann de Vries,http://www.atomico.com/,https://angel.co/yann-de-vries
Alex Spain,http://www.atomico.com/,https://angel.co/alex-spain
Stephen Thorne,http://www.atomico.com/,https://angel.co/stephen-thorne
Marcus Foster,http://www.atomico.com/,https://angel.co/marcus-foster
Matthieu Sagnier,http://www.atomico.com/,https://angel.co/matthieu-sagnier
Gernot Zacke,http://www.atomico.com/,https://angel.co/gernot-zacke
Meg He,http://www.atomico.com/,https://angel.co/meg
Naz Ozertugrul,http://www.atomico.com/,https://angel.co/naz-ozertugrul
Pogos Saiadian,http://www.atomico.com/,https://angel.co/pogos
Sebastian Sutherland,http://www.atomico.com/,https://angel.co/seb-sutherland
Carlos Pires,http://www.atomico.com/,https://angel.co/carlos-pires
"Aniruddha ""Ajit"" Nazre",http://www.wellington-partners.com,https://angel.co/aniruddha-ajit-nazre
Ulrik Deichsel,http://www.wellington-partners.com,https://angel.co/ulrik-deichsel
Linus Dahg,http://www.wellington-partners.com,https://angel.co/linus-dahg
Stephan von Perger,http://www.wellington-partners.com,https://angel.co/vonperger
Chirag Patel,http://www.wellington-partners.com,https://angel.co/chirag-patel1
Daniel Waterhouse,http://www.wellington-partners.com,https://angel.co/daniel-waterhouse
Frank Boehnke,http://www.wellington-partners.com,https://angel.co/frank-boehnke
Christian Thaler-Wolski,http://www.wellington-partners.com,https://angel.co/christian-thaler
Meg Nakamura,,https://angel.co/megnakamura
Nobutake Suzuki,,https://angel.co/nobutake-suzuki
Dmitry Falkovich,,https://angel.co/dmitry-falkovich
Julian Ranger,,https://angel.co/julian-ranger
Greg Kidd,,https://angel.co/gregkidd
Joe Cohen,,https://angel.co/joe-cohen
David Chang,,https://angel.co/david-chang
Avi Muchnick,,https://angel.co/avimuchnick
KJ Singh,,https://angel.co/kjsingh
Shereen Shermak,http://www.launch-angels.com/funds/where-fund/,https://angel.co/shereen-shermak
Mandie D. Holmes,http://www.launch-angels.com/funds/where-fund/,https://angel.co/mandieholmes
Jing-ta Chow,http://www.launch-angels.com/funds/where-fund/,https://angel.co/jingta
Katie Zacarian,,https://angel.co/katie-6
Frank Meehan,http://www.sparklabsglobal.com,https://angel.co/frank_meehan
Christine Aum,http://www.sparklabsglobal.com,https://angel.co/christine-aum
Rob DeMillo,http://www.sparklabsglobal.com,https://angel.co/rob-demillo
Eugene Kim,http://www.sparklabsglobal.com,https://angel.co/eugene-kim-1
HanJoo Lee,http://www.sparklabsglobal.com,https://angel.co/ehanjoo
Bernard Moon,http://www.sparklabsglobal.com,https://angel.co/bernardmoon
Net Jacobsson,http://www.sparklabsglobal.com,https://angel.co/netjacobsson
Scot Chisholm,,https://angel.co/scot-chisholm
Aaron Holiday,http://www.645ventures.com,https://angel.co/aaron-holiday
Nnamdi Okike,http://www.645ventures.com,https://angel.co/nokike
David Segura,,https://angel.co/david-segura
Dave Lerner,,https://angel.co/dave-lerner
Adam Corey,http://www.QBVP.com,https://angel.co/frumpy
Ajay Relan,http://www.QBVP.com,https://angel.co/ajayrelan
Anand Murthy,http://www.QBVP.com,https://angel.co/anand-murthy
Dee Murthy,http://www.QBVP.com,https://angel.co/dee-murthy
Rashaun L. Williams,http://www.QBVP.com,https://angel.co/rashaun-l-williams
Craig Vaughan,http://www.QBVP.com,https://angel.co/craig-vaughan
Anthony Saleh,http://www.QBVP.com,https://angel.co/dude_br0
Nasir Jones,http://www.QBVP.com,https://angel.co/nasir-jones
Rick Marini,,https://angel.co/rmarini
Sam Teller,,https://angel.co/steller
Paul Sethi,,https://angel.co/paulsethi
Joanne Wilson,,https://angel.co/thegothamgal
Scott Belsky,,https://angel.co/scottbelsky
John Ryu,,https://angel.co/john_ryu
Michael Katz,,https://angel.co/michael-katz
Shawn Cheng,http://vaynerrse.com,https://angel.co/shacheng
AJ Vaynerchuk,http://vaynerrse.com,https://angel.co/ajv
Gary Vaynerchuk,http://vaynerrse.com,https://angel.co/gary
Kerry Kellogg,http://vaynerrse.com,https://angel.co/kerry-kellogg
Phil Toronto,http://vaynerrse.com,https://angel.co/philtoronto
